"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20161","03093194",22,0,"1",390,"D",65,"D",.,"A",520,"D",0,"D",.,"A",.,"A",325,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093224",26,0,"1",260,"D",26,"D",.,"A",130,"D",0,"D",.,"A",.,"A",234,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093284",28,0,"1",910,"D",182,"D",.,"A",650,"D",0,"D",.,"A",.,"A",728,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093294",51,0,"1",1625,"D",195,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",1430,"D",60,"D",30,"D",390,"D",.,"A",.,"A"
"20161","03093384",41,0,"1",3250,"D",585,"D",.,"A",845,"D",0,"D",.,"A",.,"A",2665,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093404",52,0,"1",1885,"D",650,"D",.,"A",585,"D",75,"D",.,"A",.,"A",1235,"D",105,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093424",24,0,"1",650,"D",0,"D",.,"A",0,"D",0,"D",.,"A",.,"A",650,"D",130,"F",.,"C",500,"F",.,"A",.,"A"
"20161","03093474",65,0,"1",1118,"D",624,"D",767,"D",0,"D",0,"D",.,"A",.,"A",494,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093484",76,0,"1",3900,"D",1300,"D",.,"A",390,"D",30,"D",.,"A",.,"A",2600,"D",180,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093564",21,0,"1",780,"D",260,"D",.,"A",390,"D",0,"D",.,"A",.,"A",520,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093624",30,0,"1",2600,"D",325,"D",.,"A",2600,"D",0,"D",.,"A",.,"A",2275,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093634",34,0,"1",1300,"D",130,"D",.,"A",1300,"D",30,"D",.,"A",.,"A",1170,"D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093654",11,0,"1",1560,"D",325,"D",.,"A",520,"D",0,"D",.,"A",.,"A",1235,"D",75,"D",30,"D",390,"D",.,"A",.,"A"
"20161","03093664",18,0,"1",1456,"D",0,"D",.,"A",208,"D",0,"D",.,"A",.,"A",1456,"D",21,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093674",60,0,"1",2600,"D",650,"D",.,"A",169,"D",0,"D",.,"A",.,"A",1950,"D",0,"D",50,"D",650,"D",.,"A",.,"A"
"20161","03093684",42,0,"1",1300,"D",130,"D",.,"A",0,"D",30,"D",.,"A",.,"A",1170,"D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093754",18,0,"1",1690,"D",650,"D",.,"A",260,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093804",64,0,"1",6500,"D",650,"D",.,"A",325,"D",30,"D",.,"A",.,"A",5850,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093824",45,0,"1",1950,"D",975,"D",975,"D",390,"D",300,"D",.,"A",.,"A",975,"D",300,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093834",50,0,"1",1300,"D",260,"D",.,"A",975,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093874",44,0,"1",3250,"D",260,"D",.,"A",975,"D",600,"D",.,"A",.,"A",2990,"D",450,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093894",30,0,"1",2600,"D",585,"D",.,"A",650,"D",0,"D",.,"A",.,"A",2015,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093904",34,0,"1",2600,"D",1300,"D",.,"A",390,"D",0,"D",.,"A",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093964",39,0,"1",3900,"D",455,"D",.,"A",260,"D",6,"D",.,"A",.,"A",3445,"D",6,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03093984",40,0,"1",650,"D",0,"D",.,"A",390,"D",0,"D",.,"A",.,"A",650,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094004",17,0,"1",1645,"F",.,"A",.,"A",818,"F",134,"F",.,"A",.,"A",1330,"F",130,"F",.,"A",.,"A",.,"A",.,"A"
"20161","03094014",42,0,"1",2600,"D",260,"D",.,"A",1040,"D",0,"D",.,"A",50,"D",2340,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094034",38,0,"1",1560,"D",325,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1235,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094124",30,0,"1",1300,"D",325,"D",.,"A",780,"D",0,"D",.,"A",.,"A",975,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03094304",32,0,"1",1950,"D",390,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",1560,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
