"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20131",2573765,29,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2573774,40,0,"1","100","D","1","D","12","D",1500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2573804,35,0,"2","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2574004,58,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2574314,35,0,"1","100","D","4","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2575054,30,0,"1","100","D","1","D","01","D",400,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2575294,37,0,"1","110","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2575394,23,0,"1","100","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2575454,30,0,"1","150","D","1","D","02","D",6000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2575774,60,0,"1","100","D","4","D","02","D",.,"A",22000,"D",.,"A","1","D",16000,"D","02","D"
"20131",2577094,47,0,"1","110","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2577444,26,0,"1","100","D","4","D","12","D",.,"A",186,"D",.,"A","2","D",.,"A","01","D"
"20131",2577704,45,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",24500,"F","01","D"
"20131",2578204,47,0,"1","100","D","4","D","12","D",.,"A",6000,"D",.,"A","2","D",.,"A","02","D"
"20131",2578264,44,0,"1","100","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2578364,42,0,"1","110","D","1","D","01","D",8000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2578824,50,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2579333,80,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2579373,28,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2580593,91,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",15000,"D","02","D"
"20131",2580953,26,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2581193,49,0,"1","110","D","1","D","11","D",350,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2581313,76,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20131",2581333,49,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20131",2581984,26,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2581984,27,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2582483,63,0,"1","100","D","1","D","11","D",300,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2582483,64,0,"1","160","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20131",2582483,65,0,"1","180","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","07","D"
"20131",2582793,44,0,"2","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2583123,49,0,"1","100","D","1","D","10","D",1000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2583123,50,0,"1","150","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20131",2583373,55,0,"1","100","D","1","D","12","D",700,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2583533,45,0,"1","110","D","1","D","10","D",1500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2583653,40,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2583774,31,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2583833,81,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",4600,"D","01","D"
"20131",2583843,55,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
