"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20131",2524355,47,0,"1","150","D","1","D",13,"D",.,"A",,"A"
"20131",2524365,61,0,"1","200","D","1","D",20,"D",.,"A",,"A"
"20131",2524365,62,0,"1","830","D","1","D",112,"D",.,"A",,"A"
"20131",2524445,50,0,"1","830","D","1","D",300,"D",.,"A",,"A"
"20131",2524505,28,0,"1","840","D","1","D",50,"D",.,"A",,"A"
"20131",2524515,49,0,"1","150","D","1","D",57,"D",.,"A",,"A"
"20131",2524595,66,0,"1","150","D","1","D",59,"D",.,"A",,"A"
"20131",2524595,67,0,"1","830","D","1","D",99,"D",.,"A",,"A"
"20131",2524595,68,0,"1","840","D","1","D",134,"D",.,"A",,"A"
"20131",2524915,56,0,"1","150","D","1","D",24,"D",.,"A",,"A"
"20131",2524915,57,0,"1","500","D","1","D",120,"D",.,"A",,"A"
"20131",2524935,38,0,"1","150","D","1","D",105,"D",.,"A",,"A"
"20131",2525015,46,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2525125,61,0,"1","150","D","1","D",90,"D",.,"A",,"A"
"20131",2525125,62,0,"1","200","D","1","D",15,"D",.,"A",,"A"
"20131",2525125,63,0,"1","600","D","1","D",90,"D",.,"A",,"A"
"20131",2525145,77,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2525145,78,0,"1","150","D","1","D",170,"D",.,"A",,"A"
"20131",2525145,79,0,"1","830","D","1","D",270,"D",.,"A",,"A"
"20131",2525145,80,0,"1","830","D","1","D",1300,"D",.,"A",,"A"
"20131",2525255,45,0,"1","840","D","1","D",45,"D",.,"A",,"A"
"20131",2525265,32,0,"1","830","D","1","D",225,"D",.,"A",,"A"
"20131",2525425,61,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2525425,62,0,"1","840","D","1","D",40,"D",.,"A",,"A"
"20131",2525445,48,0,"1","150","D","1","D",101,"D",.,"A",,"A"
"20131",2525495,48,0,"1","150","D","1","D",40,"D",.,"A",,"A"
"20131",2525525,36,0,"1","150","D","1","D",48,"D",.,"A",,"A"
"20131",2525745,118,0,"1","830","D","1","D",225,"D",.,"A",,"A"
"20131",2525745,119,0,"1","820","D","1","D",70,"D",.,"A",,"A"
"20131",2525835,87,0,"1","840","D","1","D",25,"D",.,"A",,"A"
"20131",2525875,59,0,"1","500","D","1","D",56,"D",.,"A",,"A"
"20131",2526055,63,0,"1","150","D","1","D",20,"D",.,"A",,"A"
"20131",2526055,64,0,"1","150","D","1","D",251,"D",.,"A",,"A"
"20131",2526055,65,0,"1","830","D","1","D",31,"D",.,"A",,"A"
"20131",2526065,24,0,"1","150","D","1","D",24,"D",.,"A",,"A"
"20131",2526085,35,0,"1","150","D","1","D",4,"D",.,"A",,"A"
"20131",2526105,33,0,"1","840","D","1","D",20,"D",.,"A",,"A"
